data,label
GA GA GA GA GA GODS GA GA GA GA GA GODS ey This is what you came for Blood on the game ball Everybody dropping like rainfall uh This is your moment Eyes on the pulpit kid I think Church just opened And they re singing your praises la la la Screaming your name out la la loud One more step you re Immortal now cause Once you play GOD Once you play GOD They re gonna crumble one by one Then we gonna ride right into the Sun like it s the day my kingdom come Baby we re GA GA GA GA GA GODS Yeah we re GA GA GA GA GA GODS Welcome to the big show Next on the ladder Is it your name in the rafter Brief moment of silence Bad girl woke up chose violence And they re singing my praises la la la Screaming my name out la la loud This is why we re Immortal now cause Once you play GOD Once you play GOD They re gonna crumble one by one Then we gonna ride right into the Sun like it s the day my kingdom come Baby we re GA GA GA GA GA GODS Oh yeah we re GA GA GA GA GA GODS I m on my knees Pray for glory Will anyone read this underdog story I can t lose myself again Help me raise this heart Heart unbreakable Once you play GOD Once you play GOD They re gonna crumble one by one Then we gonna ride right into the Sun like it s the day my kingdom come Once you play GOD Once you play GOD They re gonna crumble one by one Then we gonna ride right into the Sun like it s the day my kingdom come Baby we re GA GA GA GA GA GODS Oh yeah we re GA GA GA GA GA GODS GA GA GA GA GA GODS Oh yeah we re GA GA GA GA GA GODS,댄스
Get Up Cause I know it s now or never Get Up Now 누구 따라오지 하게 해 babe all I know is that the world s surrounding fast Lets make this fun Remember when we first met Blue Jeans 빨간 머리 준비 됐어 Im all Set 너 나 거리 걸음 차이 Lets hop in the car we ain t waiting load up Yeah Get Up Cause I know it s now or never Get Up Now 누구 따라오지 하게 해 babe yeah all I know is that the world s surrounding fast Lets make this fun 게 너 얼굴 보려다가 가는 저기 앉아 있는 애 달라 그냥 그대로 있어주면 내 Whoo you know what I be doin yeah Ooh ahh That s the sound that I make Ooh ahh when we making it shake Get Up Cause I know it s now or never Get Up Now 누구 따라오지 하게 해 babe yeah all I know is that the world s surrounding fast Lets make this fun Oh lovin you can t be more complicated Oh But I know right now s the time yeah Oh Fire up Fire up beside by you yeah Get Up Cause I know it s now or never yeah yeah yeah yeah Get Up Now Worlds ending right here 누구 따라오지 하게 해 babe yeah all I know is that the world s surrounding fast All i know is that the world s surrounding fast Lets make this fun Yeah Yeah Yeah,댄스
오늘 따라 더운 날씨 잠 못 이뤄 뒤척 다가 하늘 뜬 달 그려진 그때 우리 문득 떠올라 햇살 알람 일어나 놀이터 뛰고 나면 행복할 내일 그리며 잠들어 더위 몰려와 친구 싸워도 아이스크림 입 금세 풀리곤 했었지 미소 뒤 남겨진 가끔 숨 막히는 이 적막 추억 한편 쌓아 둔 그리운 테이프 걸 알 우리 summer night 노래 해 summer night 뜨거운 바람 들려줄 오래된 story 저 하늘 shiny star 기억 해 every night 시간 지나서 지워진다 해도 아주 어릴 적 상상 우주 비행사 되는 것 그땐 친구 자랑 말 했었는데 꿈 하나 둘 멀어진 채 숨 몰아 쉬 매일 달려온 이 순간 미소 뒤 남겨진 가끔 숨 막히는 이 적막 추억 한편 쌓아 둔 그리운 테이프 걸 알 우리 summer night 노래 해 summer night 뜨거운 바람 들려줄 오래된 story 저 하늘 shiny star 기억 해 every night 시간 지나도 잊지 않을,댄스
자꾸 깜짝 놀라 엉뚱한 너 엉뚱한 그런 말투 나를 보는 시선 가끔 실수 실수 너 손 닿을 때 닿을 때 화끈 거리 나 마음 감춰 보지 감춰 보지 두근거리지만 설레이지만 내 먼저 고백 하기는 싫단 말 사랑 한다고 먼저 안 할래 내 마음 들켜 버리면 안 될 것 같아 가끔 설레이게 하는 너 눈빛 상냥해 보이려 하는 말투 모든 게 좋단 말 점점 더 커져가 내 마음 깊은 곳 숨긴 사랑 완벽하게 화창한 오늘 화창해 네 있어서 더 좋은 건가 봐 저절로 나오는 나오는 꽃 노래 한 절 한 절 간지럽지만 하루 종일 부르고 싶어 부르고 싶어 두근거리지만 설레이지만 내 먼저 고백 하기는 싫단 말 사랑 한다고 먼저 안 할래 내 마음 들켜 버리면 안 될 것 같아 내 마음 안다면 나 먼저 와줘 Bab Love ou 어쩌면 하지 할 내 마음속 사랑 용기 도록 해줘 사랑 한단 말 너 모든 걸 너 향 나 마음 변치 않도록 다가와 줘 내 마음 놀래지 않게 고백 해줄래 가끔 설레이게 하는 Cause of our love 너 눈빛 눈빛 상냥해 보이려 하는 말투 모든 게 좋단 말 전부 좋단 말 점점 더 커져가 점점 더 커져가 널 위 내 마음 깊은 곳 숨긴 사랑,댄스
Don t forget love 바쁘다고 마음 숨기진 말 자구 가끔 심란해져도 Oh don t you worry about a thing So many things have changed But still so many things are good 누구 모든 걸 감당 할 순 없어 So let s just have fun tonight just fun 잊지 마 너 Chance to love We re gonna have fun tonight just fun Under the vanilla sky So many things are change But still so many things are good 세상 누구 감당 할 순 없어 So let s just have fun tonight just fun 잊지 마 너 Chance to love We re gonna have fun tonight just fun Under the vanilla sky 아무 말리 않고 또 정답 없는 My way 넌 충분한 걸 So let us have fun keep it up So let s just have fun tonight just fun 잊지 마 너 Chance to love We re gonna have fun tonight just fun Under the vanilla sky Oh baby so good is it real 잊지 마 너 Chance to love You make me love my life 불안해 Let just have fun baby So let s just have fun tonight just fun 잊지 마 너 Chance to love We re gonna have fun tonight just fun Under the vanilla sky,댄스
wah ah hah ah hah yeah my memories woo girl s world tik tok tok tok tok tok sweety dream tik tok tok tok tok tok to my dream tik tok tok tok tok tok to our dream from a ticking to infinity come true 내 손 모아 너 기다렸어 아주 기다렸던 stars aligned 예쁜 꽃 피어 그 속 태어난 나 어때 널 사로잡은 나란 별 늘 적당한 beautiful sky 하루 온종일 나 heart 너 전하 싶어 내 맘 담아 너 Trick or Treat 내 손 잡아줄래 Let me fly high up day by day fly fly Shall we fly high like shooting star 나를 뛰게 지금 그 설레임 어디 로 날 가고 싶어 희망 가득 찬 밤 헤맸나 봐 난 깨고 싶지 않아 이루어 질거야 너 난 같은 시간 또 써 내려가요 my dream dream dream 널 닮은 향기 속 손가락 걸고 엄지 꾹 도장 내 맘 전 해줄게 기다렸다고 말 해줘 buzz 기다린 별 하나비 가 되어 또 또 또 내 맘 속 꽃 피어 늘 적당한 beautiful sky 간절히 바란 반짝이는 너 love 더 달콤하게 말 해줘 나 언어 언덕 위 다시 쓰는 story Trick or Treat 내 손 잡아 줄 Let me fly high up day by day fly fly Shall we fly high like shooting star 나를 뛰게 지금 그 설레임 어디 로 날 가고 싶어 희망 가득 찬 밤 헤맸나 봐 난 깨고 싶지 않아 이루어 질거야 너 난 같은 시간 또 써 내려가요 my dream 별 지고 두 눈 비비 희미해지는 꿈 stay in my dream in the night stay in my day in the light from a ticking to infinity come and take my hand Let me fly high up day by day tweet tweet Shall we fly high like shooting star 날아갈 네 손 잡고 밤 하늘 위로 fly 헝클어진 나 꿈 속 널 다시 돌려 놔줘 이루어 질거야 너 난 같은 시간 또 써 내려가요 my dream dream dream,댄스
잠 오지 않는 이 밤 번화가 미친 듯이 뛰어 잃어버린 나를 되찾아 너 없는 이 낯선 곳 외로워 였다면 네 아니라도 난 아무나 괜찮을텐데 넌 그런 사람 아니라고 믿었어 이제 변하겠다 더니 다른 사람 I don t wanna love I don t wanna love Uh 이 밤 지나가면 난 너 잊을거야 I don t wanna love you Anymore tonight 날 두고 떠나간 널 지우려고 해 나 번 다시 너 찾지 않으려고 해 I don t wanna love you Anymore tonight 수 많은 사람 속 끼 해 난 어디 이런 곳 서있을 리가 없다는 걸 알면서 찾아 Can t nobody control my body 난 한곌 넘어선 놈 Girl you know I m fuckin crazy 오늘 밤 끝 Never get enough Oh I ain t gonna fall 다시 난 미쳐 버릴거야 I don t wanna love you Anymore tonight 날 두고 떠나간 널 지우려고 해 나 번 다시 너 찾지 않으려고 해 I don t wanna love you Anymore tonight 나 아닌 다른 곳 안긴 네 모습 하나 행복하게 보이지 않아 돌아와 내게 Still I love you Hate you but I love you Waiting for your calling back Babe Just tonight I don t wanna love you Anymore tonight 날 두고 떠나간 널 지우려고 해 나 번 다시 너 찾지 않으려고 해 I don t wanna love you Anymore tonight Yeah,댄스
D I can t touch you through the phone Or kiss you through the universe In another time zone It s the only time I can t reverse But when there s dimensions There s only I m missing And if you feel alone You don t have to feel that no more I just wanna see you like that See you like that uh uh So if you re ready And if you ll let me I wanna see it In motion In D You won t regret me Champagne confetti I wanna see it In motion In D Cause you know how I like it girl D You know how I like it girl D Body to body to body to body to body You and me baby you know that we got it So don t go getting me started Cause you know I get hot hearted Baby oh baby oh baby you making me crazy Rain rain rain you can t fake it You give me brand new emotion You got me drinking that potion I just wanna see you like that See you like that uh uh So if you re ready And if you ll let me I wanna see it In motion In D You won t regret me Champagne confetti I wanna see it In motion In D Cause you know how I like it girl D You know how I like it girl D Cause you know how I like it girl D You know how I like it girl D I m on my Jung Kook Take a chick off one look And when they get took They don t ever get untook When I seen that body you would think it was a d *** **** The way I told my boys come look I used to take girls up to Stony Brook And steal they hearts like some crook True story Now when I hold somebody s hand it s a new story All my ABGs get cute for me I had one girl too boring Two girls that was cool for me Three girls damn dude s horny Four girls okay now you w ****** Hey hey hey hey I m loose I done put these s ****** to good use I done put my city on my back And the world know my name I m the truth So if you re ready And if you ll let me I wanna see it In motion In D You won t regret me Champagne confetti I wanna see it In motion In D Cause you know how I like it girl D You know how I like it girl D Cause you know how I like it girl D You know how I like it girl D I got you p ****** **** ******** on camera You my bae just like Tampa Speaking of bucks I got those and as for f **** well not those And as for thots well do you really wanna know I thought so I ll fly you from Korea to Kentucky And you ain t gotta guarantee me nothing I just wanna see if I get lucky I just wanna meet you in the physical and see if you would touch me,댄스
Oh Got better things to do with my time Better things to do with my time Do with my time than you Oh I got better things to do with my time Better things to do with my time Do with my time I wasn t ever sure that I loved you But I was always sure you would let me down I wasn t ever sure if I d trust you But I m so goddamn sure my energy is just too precious to waste So now you now you wanna Know me wanna know me You wanna know all about me wanna know about me But he can t have me Cuz I left him alone You know you wanna know me you wanna know me You wanna know all about me wanna know about me But he can t have me Cuz I m gone no no know That I I got better things to do with my time Better things to do with my time Do with my time than you Oh I got better things to do with my time Better things to do with my time Do with my time Break it down Oh Better things to do with my time Better things to do with my time Do with my time than you Yes Tell a boy bye now Just like how my hair waves I ain t tell you straight I tell you all over the airwaves Said you love me but you Your head ain t in the right place Funny cus it s true I think you Hit it on her bed frame You come to my city link girls Think it won t get back to me boy I digress Left a Prada bag fresh In the box in your hallway It s a gift for the poor girl that you hurt next Still you wanna know me wanna hold me Wanna call to console me Taylor Swift once said a bar I ma borrow it Cause the old Raye can t come to the phone Right now since she s dead I left him alone And I would wish you the best But I can t find the space In my schedule to do this That I I got better things to do with my time Better things to do with my time Do with my time than you Oh I got better things to do with my time Better things to do with my time Do with my time Break it down I m sorry that it hurts you No I m sorry I ain t sorry aespa big girls making money aespa you re our number fan now You can only see me at our Sold out shows Sold out show Will I ever go back No Will I ever trip up No Will I ever pull up on him No Watch and see bout to throw another rhythm on him Oh That I Ah Got better things to do with my time Better things to do with my time Do with my time than you Yes Oh I got better things to do with my time Better things to do with my time Do with my time Break it down I got better things to do with my time I got better things to do with my time I m sorry that it hurts you No I m sorry I ain t sorry aespa big girls making money aespa you re our number fan now You can only see me at our Sold out shows Sold out show Will I ever go back No Will I ever trip up No Will I ever pull up on him No Watch and see bout to throw another rhythm on him,댄스
너 좋다는데 i wanna chance 그래 너 위해 준비 했지 매일 all day 사랑 도약 분명해 Girl i wanna dive in wave 익숙했던 그 감정 Girl i wanna dive in wave can i want it told us 아무 없던 곳 I can i hold you 네 있어 빠져 살 왜 사랑 원한다면 난 미련 두 않을래 girl i can hold you can we meet just 사랑 외치 난 말 할거야 곧 i can hold you can we meet just 사랑 외치 난 말 할거야 곧 Let me right 너 인해 나 찾아줘 그 달콤한 말 한마디 힘들어 Girl i wanna dive in wave Girl i wanna dive in wave Let me right 너 인해 난 느껴져 That s Right yeah 가끔 무너질 때 있어 i m not one 그럴 때 손 잡아줘 I m your one 널 좋아한다 말 하고서 난 설렜어 네 눈 입 말 해주잖아 원했어 익숙한 말 한마디 움직이는 네 좋아 I m in love I m in love 달콤한 네 표정 속 움직이는 무언가 있어 fall in love fall in love I can i hold you 네 있어 빠져 살 왜 사랑 원한다면 난 미련 두 않을래 girl i can hold you can we meet just 사랑 외치 난 말 할거야 곧 i can hold you can we meet just 사랑 외치 난 말 할거야 곧 Let me right 너 인해 나 찾아줘 그 달콤한 말 한마디 힘들어 Girl i wanna dive in wave Girl i wanna dive in wave Let me right 너 인해 난 느껴져 사랑 한다 말 해줘 I mma fall in love 멈추기는 싫어 I m in love fall in love 널 외칠거고 널 안을거야 그대로 숨겨진건 없어 너 위 해서라면 줄 수 있어 not this baby 사랑 한다고 i can this is for yeah Let me right 너 인해 나 찾아줘 그 달콤한 말 한마디 힘들어 Girl i wanna dive in wave Girl i wanna dive in wave Let me right 너 인해 난 느껴져,댄스
