행정구역,2023년01월_계_총인구수,2023년01월_계_연령구간인구수,2023년01월_계_0~9세,2023년01월_계_10~19세,2023년01월_계_20~29세,2023년01월_계_30~39세,2023년01월_계_40~49세,2023년01월_계_50~59세,2023년01월_계_60~69세,2023년01월_계_70~79세,2023년01월_계_80~89세,2023년01월_계_90~99세,2023년01월_계_100세 이상,2023년01월_남_총인구수,2023년01월_남_연령구간인구수,2023년01월_남_0~9세,2023년01월_남_10~19세,2023년01월_남_20~29세,2023년01월_남_30~39세,2023년01월_남_40~49세,2023년01월_남_50~59세,2023년01월_남_60~69세,2023년01월_남_70~79세,2023년01월_남_80~89세,2023년01월_남_90~99세,2023년01월_남_100세 이상,2023년01월_여_총인구수,2023년01월_여_연령구간인구수,2023년01월_여_0~9세,2023년01월_여_10~19세,2023년01월_여_20~29세,2023년01월_여_30~39세,2023년01월_여_40~49세,2023년01월_여_50~59세,2023년01월_여_60~69세,2023년01월_여_70~79세,2023년01월_여_80~89세,2023년01월_여_90~99세,2023년01월_여_100세 이상
서울특별시  (1100000000),"9,424,873","9,424,873","541,595","748,219","1,385,210","1,424,188","1,447,594","1,493,331","1,301,366","715,451","323,956","42,644","1,319","4,567,739","4,567,739","278,043","383,114","661,953","712,005","715,806","735,419","615,191","324,459","130,359","11,114",276,"4,857,134","4,857,134","263,552","365,105","723,257","712,183","731,788","757,912","686,175","390,992","193,597","31,530","1,043"
서울특별시 종로구 (1111000000),"141,223","141,223","6,317","10,077","22,200","19,302","19,918","24,190","20,345","11,438","6,492",912,32,"68,314","68,314","3,178","5,019","10,573","9,591","9,604","12,061","10,225","5,126","2,641",286,10,"72,909","72,909","3,139","5,058","11,627","9,711","10,314","12,129","10,120","6,312","3,851",626,22
서울특별시 종로구 청운효자동(1111051500),"11,600","11,600",663,"1,110","1,440","1,557","2,014","1,894","1,387",920,541,71,3,"5,327","5,327",343,583,707,700,880,855,645,360,231,22,1,"6,273","6,273",320,527,733,857,"1,134","1,039",742,560,310,49,2
서울특별시 종로구 사직동(1111053000),"9,131","9,131",505,664,"1,103","1,437","1,417","1,501","1,220",686,506,89,3,"4,064","4,064",258,283,484,611,641,683,573,279,218,32,2,"5,067","5,067",247,381,619,826,776,818,647,407,288,57,1
서울특별시 종로구 삼청동(1111054000),"2,325","2,325",85,174,275,294,333,363,387,239,148,25,2,"1,110","1,110",37,102,133,139,155,180,185,112,53,13,1,"1,215","1,215",48,72,142,155,178,183,202,127,95,12,1
서울특별시 종로구 부암동(1111055000),"9,198","9,198",412,847,"1,156","1,147","1,424","1,653","1,341",724,419,71,4,"4,361","4,361",201,474,590,558,633,762,624,326,177,16,0,"4,837","4,837",211,373,566,589,791,891,717,398,242,55,4
서울특별시 종로구 평창동(1111056000),"17,636","17,636","1,068","1,540","2,181","2,082","2,561","3,167","2,749","1,345",798,135,10,"8,224","8,224",564,747,"1,079",987,"1,153","1,406","1,306",616,327,36,3,"9,412","9,412",504,793,"1,102","1,095","1,408","1,761","1,443",729,471,99,7
서울특별시 종로구 무악동(1111057000),"8,012","8,012",563,947,849,846,"1,306","1,426","1,064",590,377,41,3,"3,705","3,705",255,418,391,399,609,718,498,259,145,13,0,"4,307","4,307",308,529,458,447,697,708,566,331,232,28,3
서울특별시 종로구 교남동(1111058000),"9,794","9,794",754,803,"1,134","1,468","1,724","1,627","1,174",702,370,38,0,"4,506","4,506",377,383,524,662,787,792,544,271,154,12,0,"5,288","5,288",377,420,610,806,937,835,630,431,216,26,0
서울특별시 종로구 가회동(1111060000),"3,962","3,962",170,297,440,518,655,694,573,376,206,33,0,"1,830","1,830",95,148,202,238,312,330,269,147,81,8,0,"2,132","2,132",75,149,238,280,343,364,304,229,125,25,0
